item_id,city,quality,sell_price_min,sell_price_min_date,sell_price_max,sell_price_max_date,buy_price_min,buy_price_min_date,buy_price_max,buy_price_max_date
T4_METALBAR_LEVEL1@1,Bridgewatch,1,466,2023-09-26T15:05:00,699,2023-09-26T15:05:00,,,,
T4_METALBAR_LEVEL1@1,Fort Sterling,1,400,2023-09-26T21:25:00,400,2023-09-26T21:25:00,3,2023-09-26T18:45:00,382,2023-09-26T18:45:00
T4_METALBAR_LEVEL1@1,Lymhurst,1,490,2023-09-26T18:40:00,513,2023-09-26T18:40:00,3,2023-09-26T11:45:00,385,2023-09-26T11:45:00
T4_METALBAR_LEVEL1@1,Martlock,1,439,2023-09-26T22:55:00,2000,2023-09-26T22:55:00,3,2023-09-26T19:15:00,400,2023-09-26T19:15:00
T4_METALBAR_LEVEL1@1,Thetford,1,364,2023-09-26T22:25:00,491,2023-09-26T22:25:00,3,2023-09-26T22:25:00,359,2023-09-26T22:25:00
T4_METALBAR_LEVEL2@2,Bridgewatch,1,1482,2023-09-26T15:05:00,2010,2023-09-26T15:05:00,,,,
T4_METALBAR_LEVEL2@2,Fort Sterling,1,1264,2023-09-26T18:35:00,1366,2023-09-26T18:35:00,3,2023-09-26T11:40:00,1117,2023-09-26T11:40:00
T4_METALBAR_LEVEL2@2,Lymhurst,1,1600,2023-09-26T14:50:00,7296,2023-09-26T14:50:00,3,2023-09-26T11:20:00,1124,2023-09-26T11:20:00
T4_METALBAR_LEVEL2@2,Martlock,1,1423,2023-09-26T22:55:00,5317,2023-09-26T22:55:00,1,2023-09-26T19:15:00,1151,2023-09-26T19:15:00
T4_METALBAR_LEVEL2@2,Thetford,1,1143,2023-09-26T18:55:00,1488,2023-09-26T18:55:00,3,2023-09-26T19:00:00,1023,2023-09-26T19:00:00
T4_METALBAR_LEVEL3@3,Bridgewatch,1,6994,2023-09-26T15:05:00,8000,2023-09-26T15:05:00,,,,
T4_METALBAR_LEVEL3@3,Fort Sterling,1,6649,2023-09-26T14:55:00,6900,2023-09-26T14:55:00,,,,
T4_METALBAR_LEVEL3@3,Lymhurst,1,7290,2023-09-26T14:50:00,9398,2023-09-26T14:50:00,3,2023-09-26T11:20:00,206,2023-09-26T11:20:00
T4_METALBAR_LEVEL3@3,Martlock,1,6299,2023-09-26T22:55:00,6836,2023-09-26T22:55:00,3,2023-09-26T19:15:00,5101,2023-09-26T19:15:00
T4_METALBAR_LEVEL3@3,Thetford,1,6232,2023-09-26T21:15:00,10100,2023-09-26T21:15:00,3,2023-09-26T21:15:00,5538,2023-09-26T21:15:00
T4_METALBAR_LEVEL4@4,Bridgewatch,1,58000,2023-09-26T20:45:00,65000,2023-09-26T20:45:00,3,2023-09-26T20:45:00,37002,2023-09-26T20:45:00
T4_METALBAR_LEVEL4@4,Fort Sterling,1,59000,2023-09-26T19:00:00,59000,2023-09-26T19:00:00,3,2023-09-26T18:40:00,40025,2023-09-26T18:40:00
T4_METALBAR_LEVEL4@4,Lymhurst,1,65969,2023-09-26T18:40:00,65986,2023-09-26T18:40:00,3,2023-09-26T18:50:00,40002,2023-09-26T18:50:00
T4_METALBAR_LEVEL4@4,Martlock,1,63984,2023-09-26T22:55:00,70000,2023-09-26T22:55:00,3,2023-09-26T21:20:00,45000,2023-09-26T21:20:00
T4_METALBAR_LEVEL4@4,Thetford,1,60000,2023-09-26T20:50:00,60000,2023-09-26T20:50:00,3,2023-09-26T21:15:00,43001,2023-09-26T21:15:00
T4_ORE,Bridgewatch,1,41,2023-09-26T18:35:00,53,2023-09-26T18:35:00,1,2023-09-26T13:10:00,39,2023-09-26T13:10:00
T4_ORE,Fort Sterling,1,49,2023-09-26T19:40:00,50,2023-09-26T19:40:00,1,2023-09-26T08:20:00,44,2023-09-26T08:20:00
T4_ORE,Lymhurst,1,,,,,41,2023-09-26T19:45:00,41,2023-09-26T19:45:00
T4_ORE,Martlock,1,43,2023-09-26T22:55:00,50,2023-09-26T22:55:00,43,2023-09-26T12:55:00,43,2023-09-26T12:55:00
T4_ORE,Thetford,1,47,2023-09-26T13:25:00,69,2023-09-26T13:25:00,3,2023-09-26T08:20:00,41,2023-09-26T08:20:00
T4_ORE_LEVEL1@1,Bridgewatch,1,159,2023-09-26T13:10:00,160,2023-09-26T13:10:00,159,2023-09-26T17:15:00,159,2023-09-26T17:15:00
T4_ORE_LEVEL1@1,Fort Sterling,1,196,2023-09-26T06:40:00,196,2023-09-26T06:40:00,195,2023-09-26T06:45:00,195,2023-09-26T06:45:00
T4_ORE_LEVEL1@1,Lymhurst,1,,,,,,,,
T4_ORE_LEVEL1@1,Martlock,1,177,2023-09-26T22:55:00,214,2023-09-26T22:55:00,3,2023-09-26T20:15:00,151,2023-09-26T20:15:00
T4_ORE_LEVEL1@1,Thetford,1,173,2023-09-26T12:30:00,232,2023-09-26T12:30:00,3,2023-09-26T12:30:00,167,2023-09-26T12:30:00
T4_ORE_LEVEL2@2,Bridgewatch,1,555,2023-09-26T17:25:00,555,2023-09-26T17:25:00,554,2023-09-26T17:05:00,554,2023-09-26T17:05:00
T4_ORE_LEVEL2@2,Fort Sterling,1,636,2023-09-26T19:20:00,676,2023-09-26T19:20:00,1,2023-09-26T19:20:00,629,2023-09-26T19:20:00
T4_ORE_LEVEL2@2,Lymhurst,1,,,,,,,,
T4_ORE_LEVEL2@2,Martlock,1,536,2023-09-26T22:55:00,600,2023-09-26T22:55:00,3,2023-09-26T10:45:00,531,2023-09-26T10:45:00
